Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2025-02-11,3928.631103515625,4004.407529279412,3920.156380767345,3982.9977288616255,1810908
2025-02-12,3915.348876953125,3986.3181740377236,3905.4369774714623,3936.114499958995,1678002
2025-02-13,3875.701416015625,3949.346880165372,3867.871111944238,3933.0418533396723,2277310
2025-02-14,3900.183837890625,3913.2178888247336,3865.640771635375,3890.4205201714994,1681975
2025-02-17,3870.10107421875,3899.3411770973394,3822.2265522941643,3822.523957670536,1799806
2025-02-18,3839.076904296875,3889.825781845942,3830.4536000436697,3864.054842888474,2149879
2025-02-19,3750.761962890625,3840.8114240852815,3734.9522896962358,3838.085651740005,4366672
2025-02-20,3746.103271484375,3754.6276020123996,3718.2509785534694,3728.3610678378145,2888572
2025-02-21,3752.645263671875,3783.3721530468956,3741.742173893642,3742.8325796673616,1833931
2025-02-24,3643.218017578125,3730.046115354277,3637.6672568480726,3710.1727076920765,2508516
2025-02-25,3597.573486328125,3625.7727916542253,3589.3465614482952,3593.0635237142064,4101954
2025-02-27,3580.723388671875,3605.9491251101153,3568.9776906850625,3579.8807803981495,3823856
2025-02-28,3452.5625,3568.2839302375655,3426.5437630086844,3553.3664726312627,7085018
2025-03-03,3462.276123046875,3492.210011310126,3445.524867602231,3454.2969955057943,4990439
2025-03-04,3500.9326171875,3519.715618910179,3433.779496043832,3443.393990451693,2797737
2025-03-05,3515.80029296875,3568.63076468625,3489.831165175846,3489.831165175846,2501894
2025-03-06,3569.869873046875,3577.6505690745926,3504.946930370165,3525.662703832945,2786513
2025-03-07,3579.385009765625,3593.063479132406,3542.9091721174527,3568.2837310004584,2051315
2025-03-10,3558.02490234375,3590.1892097689415,3551.037206797617,3574.7265497742465,1004626
2025-03-11,3543.801513671875,3557.132970240765,3506.4830664704914,3526.6538789597053,1995450
2025-03-12,3475.31005859375,3537.804631618307,3456.130678783226,3533.592074446807,3174167
2025-03-13,3480.117431640625,3493.250698135823,3453.4049115822995,3471.444519804173,1693004
2025-03-17,3466.885009765625,3499.346480347681,3446.714439651225,3458.261705673071,2690906
2025-03-18,3466.885009765625,3466.885009765625,3466.885009765625,3466.885009765625,0
2025-03-19,3466.29052734375,3515.7508098576654,3432.2430552113424,3515.7508098576654,3051244
2025-03-20,3531.75830078125,3547.419150066534,3481.0590326792085,3481.0590326792085,2845192
2025-03-21,3546.576904296875,3584.3907045989267,3434.473222657527,3444.385122290016,4161925
2025-03-24,3596.978759765625,3617.5955593477447,3535.1782109049886,3568.283858799063,1834751
2025-03-25,3625.525146484375,3677.314822898512,3605.949144394821,3612.8874742493467,3135390
2025-03-26,3603.7685546875,3648.074698112849,3593.906262847376,3615.613226474975,1734499
2025-03-27,3619.03271484375,3630.728804709229,3578.6913320782614,3583.003105177864,2528474
2025-03-28,3574.379638671875,3628.6968978080436,3560.255181499984,3618.8346059350924,2051919
2025-04-01,3519.517333984375,3552.4247920304606,3493.944584795584,3541.224297162105,2618493
2025-04-02,3512.7275390625,3532.70016154505,3498.9500956939714,3512.7771469574404,1764313
2025-04-03,3373.16796875,3471.147191731695,3366.2296391263217,3460.2441023230576,4537821
2025-04-04,3270.33203125,3369.698823950673,3266.4664872326007,3332.975429816177,5317367
2025-04-07,3245.20556640625,3262.402567174577,3029.1261531639934,3072.6889039036473,6623955
2025-04-08,3263.93896484375,3319.4952110862437,3226.62075925165,3272.958890370874,5557558
2025-04-09,3217.997314453125,3241.1910619537834,3183.751654070316,3231.824365539661,2990265
2025-04-11,3203.0302734375,3269.885986123682,3177.754930106955,3260.568897534981,7108961
2025-04-15,3219.583251953125,3285.199980380262,3210.0679733173506,3285.199980380262,3512160
2025-04-16,3244.957763671875,3249.2199289296423,3200.5524047344097,3219.583203710541,2384391
2025-04-17,3269.83642578125,3274.4952121330816,3189.649255707432,3216.90697930344,2932346
2025-04-21,3292.336669921875,3324.451127849391,3255.1670463994083,3261.114186163003,2432946
2025-04-22,3285.199951171875,3304.528155653945,3265.9709624830452,3293.3279025458705,2710498
2025-04-23,3382.931396484375,3390.7617005183133,3307.8983635128925,3335.354277518289,3543923
2025-04-24,3371.6318359375,3382.435709613338,3357.854150417322,3371.1362409617327,2252175
2025-04-25,3417.623046875,3447.1605566409517,3375.001877786942,3389.8697274688225,2742991
2025-04-28,3413.16259765625,3427.33666235926,3375.0017845272346,3404.7374830693248,1593296
2025-04-29,3441.9072265625,3464.20900124865,3400.1780313538507,3424.5614018066053,1578332
2025-04-30,3423.272705078125,3478.9775322470646,3336.345394272942,3441.411529683795,2809332
2025-05-02,3400.772705078125,3460.7396968173343,3389.869615670996,3441.411492868333,1721761
2025-05-05,3423.867431640625,3473.6251178455746,3416.036885981391,3419.605266533666,1284443
2025-05-06,3429.517333984375,3442.4028037363396,3406.7199644232073,3429.517333984375,1324763
2025-05-07,3414.74853515625,3429.021573396319,3390.464381796455,3390.464381796455,1477128
2025-05-08,3418.514892578125,3446.367426731265,3398.4929041569826,3417.6229184266326,2543591
2025-05-09,3409.990966796875,3415.838890934778,3368.162797668319,3369.0547718623234,2531757
2025-05-12,3588.50390625,3598.5150212844183,3471.3453055594405,3474.1206857462844,2228678
2025-05-13,3484.03271484375,3591.0812306910116,3479.5723600167807,3588.5040399950904,3062887
2025-05-14,3517.435791015625,3529.6274760198758,3477.6892184929848,3489.9798773001917,2119499
2025-05-15,3548.36083984375,3568.283854829107,3483.1407340889405,3532.601016280816,3548330
2025-05-16,3529.9248046875,3562.2374517479043,3514.858765899419,3562.2374517479043,1666727
2025-05-19,3487.79931640625,3518.7243950862435,3472.832251056607,3518.7243950862435,2537377
2025-05-20,3467.47998046875,3526.6539743040653,3463.217815126027,3500.6848450385046,2038374
2025-05-21,3494.737548828125,3505.8388277898753,3467.479825400299,3477.0943194478036,1440153
2025-05-22,3446.367431640625,3466.984230851952,3420.8938985047307,3464.208850613743,2034383
2025-05-23,3483.63623046875,3503.856408277913,3435.067923819353,3446.3673922439334,1274331
2025-05-26,3506.13623046875,3513.7683446247133,3479.1759124424952,3489.9797860151243,967470
2025-05-27,3467.876220703125,3508.812413930258,3452.4138027169333,3500.8828943507547,2467680
2025-05-28,3466.885009765625,3497.909303330544,3462.226465438818,3488.9885938576126,1222933
2025-05-29,3467.28173828125,3501.3785765264042,3455.7838378087213,3473.823446903422,3188072
2025-05-30,3432.88720703125,3475.8057806517286,3422.678144045855,3459.252956735212,3404365
2025-06-02,3419.4072265625,3429.517315916676,3388.482147718656,3419.6054161596917,1877585
2025-06-03,3375.199951171875,3442.898272790372,3370.5414068299006,3415.6405493121124,2848125
2025-06-04,3380.89990234375,3394.800048828125,3370.0,3389.0,2544807
2025-06-05,3371.10009765625,3409.0,3363.699951171875,3409.0,3584683
2025-06-06,3384.199951171875,3390.89990234375,3358.699951171875,3371.10009765625,2070390
2025-06-09,3421.89990234375,3434.0,3390.89990234375,3400.0,1718678
2025-06-10,3462.89990234375,3485.800048828125,3423.199951171875,3440.0,2419874
2025-06-11,3471.89990234375,3489.0,3449.10009765625,3470.0,2847013
2025-06-12,3434.199951171875,3474.699951171875,3423.199951171875,3471.89990234375,4060134
2025-06-13,3445.699951171875,3450.5,3393.199951171875,3393.199951171875,2178493
2025-06-16,3496.300048828125,3509.0,3426.199951171875,3440.0,1934088
2025-06-17,3515.300048828125,3520.0,3488.10009765625,3510.0,2111940
2025-06-18,3451.39990234375,3538.0,3443.10009765625,3519.10009765625,2696327
2025-06-19,3424.0,3451.0,3413.0,3450.0,2672768
2025-06-20,3435.699951171875,3446.300048828125,3410.89990234375,3425.0,2351248
2025-06-23,3393.60009765625,3425.0,3370.0,3415.0,3123421
2025-06-24,3390.39990234375,3442.10009765625,3382.0,3434.60009765625,3401877
